date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:13	451621/451621	---M--	200	added ('OK')	application/java-archive	etag:%226e425-4d484efa348a9%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint-1.1.0.jar	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint-1.1.0.jar	(from http://www.apache.org/dist/aries/)
13:45:13	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-4d48494b76a5e%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0.jar.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.compatibility-1.0.0.jar.sha1	(from http://www.apache.org/dist/aries/)
13:45:15	189/189	---M-Z	200	added ('OK')	text/plain	etag:%22bd-51affbcb1e51a-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-javadoc.jar.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-javadoc.jar.asc	(from http://www.apache.org/dist/aries/)
13:45:17	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-javadoc.jar.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-javadoc.jar.sha1	(from http://www.apache.org/dist/aries/)
13:45:21	189/189	---M-Z	200	added ('OK')	text/plain	etag:%22bd-51affbcb1e51a-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-source-release.zip.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-source-release.zip.asc	(from http://www.apache.org/dist/aries/)
13:45:23	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-source-release.zip.asc.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-source-release.zip.asc.sha1	(from http://www.apache.org/dist/aries/)
13:45:24	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-source-release.zip.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-source-release.zip.sha1	(from http://www.apache.org/dist/aries/)
13:45:27	189/189	---M-Z	200	added ('OK')	text/plain	etag:%22bd-51affbcb1e51a-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-sources.jar.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-sources.jar.asc	(from http://www.apache.org/dist/aries/)
13:45:29	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-sources.jar.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-sources.jar.sha1	(from http://www.apache.org/dist/aries/)
13:45:56	178638/178638	---M--	200	added ('OK')	application/java-archive	etag:%222b9ce-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-sources.jar	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-sources.jar	(from http://www.apache.org/dist/aries/)
13:45:57	189/189	---M-Z	200	added ('OK')	text/plain	etag:%22bd-51affbcb1e51a-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.jar.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.jar.asc	(from http://www.apache.org/dist/aries/)
13:45:59	40/40	---M--	200	added ('OK')	text/plain	etag:%2228-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.jar.sha1	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.jar.sha1	(from http://www.apache.org/dist/aries/)
13:46:01	11609/11609	---M--	200	added ('OK')	text/html	etag:%222d59-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.pom	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.html	(from http://www.apache.org/dist/aries/)
13:46:03	189/189	---M-Z	200	added ('OK')	text/plain	etag:%22bd-51affbcb1e51a-gzip%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.pom.asc	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4.pom.asc	(from http://www.apache.org/dist/aries/)
13:46:05	260178/260178	---M--	200	added ('OK')	application/zip	etag:%223f852-51affbcb1e51a%22	http://www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-source-release.zip	/home/ayadav/Documents/temp_1/www.apache.org/dist/aries/org.apache.aries.blueprint.core-1.4.4-source-release.zip	(from http://www.apache.org/dist/aries/)
